------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.2.81 port 5001 connected with 192.168.2.85 port 58698
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 96.0-97.0 sec  3.65 MBytes  30.6 Mbits/sec   1.911 ms    1/ 2607 (0.038%)
[  3] 97.0-98.0 sec  2.66 MBytes  22.3 Mbits/sec   0.345 ms    0/ 1896 (0%)
[  3] 98.0-99.0 sec  3.47 MBytes  29.1 Mbits/sec   8.212 ms    0/ 2474 (0%)
[  3] 99.0-100.0 sec  3.40 MBytes  28.5 Mbits/sec   1.856 ms    0/ 2422 (0%)
[  3] 100.0-101.0 sec  2.66 MBytes  22.3 Mbits/sec   2.195 ms    1/ 1895 (0.053%)
[  3] 101.0-102.0 sec  2.42 MBytes  20.3 Mbits/sec   5.304 ms    0/ 1726 (0%)
[  3] 102.0-103.0 sec  3.84 MBytes  32.2 Mbits/sec   0.560 ms    1/ 2738 (0.037%)
[  3] 103.0-104.0 sec  2.74 MBytes  22.9 Mbits/sec   2.362 ms    0/ 1951 (0%)
[  3] 104.0-105.0 sec  4.07 MBytes  34.1 Mbits/sec   0.833 ms    1/ 2902 (0.034%)
[  3] 105.0-106.0 sec  3.86 MBytes  32.4 Mbits/sec   1.279 ms    1/ 2752 (0.036%)
[  3] 106.0-107.0 sec  3.63 MBytes  30.5 Mbits/sec   2.049 ms    1/ 2591 (0.039%)
[  3] 107.0-108.0 sec  3.41 MBytes  28.6 Mbits/sec   1.300 ms    2/ 2436 (0.082%)
[  3] 108.0-109.0 sec  2.94 MBytes  24.6 Mbits/sec   4.779 ms    1/ 2096 (0.048%)
[  3] 109.0-110.0 sec  2.37 MBytes  19.9 Mbits/sec   1.732 ms    0/ 1694 (0%)
[  3] 110.0-111.0 sec  3.44 MBytes  28.9 Mbits/sec   0.136 ms    1/ 2456 (0.041%)
[  3] 111.0-112.0 sec  2.90 MBytes  24.3 Mbits/sec   1.071 ms    0/ 2066 (0%)
[  3] 112.0-113.0 sec  3.38 MBytes  28.3 Mbits/sec   2.228 ms    1/ 2410 (0.041%)
[  3] 113.0-114.0 sec  3.27 MBytes  27.4 Mbits/sec   1.797 ms    0/ 2329 (0%)
[  3] 114.0-115.0 sec  4.34 MBytes  36.4 Mbits/sec   0.876 ms    1/ 3099 (0.032%)
[  3] 115.0-116.0 sec  3.66 MBytes  30.7 Mbits/sec   1.614 ms    1/ 2613 (0.038%)
[  3] 116.0-117.0 sec  3.48 MBytes  29.2 Mbits/sec   0.941 ms   14/ 2498 (0.56%)
[  3] 117.0-118.0 sec  4.41 MBytes  37.0 Mbits/sec   1.770 ms    0/ 3148 (0%)
[  3] 118.0-119.0 sec  2.93 MBytes  24.6 Mbits/sec   2.630 ms    2/ 2093 (0.096%)
[  3] 119.0-120.0 sec  3.24 MBytes  27.2 Mbits/sec   1.126 ms    0/ 2310 (0%)
[  3] 120.0-121.0 sec  2.58 MBytes  21.6 Mbits/sec   0.980 ms    2/ 1840 (0.11%)
[  3] 121.0-122.0 sec  2.44 MBytes  20.4 Mbits/sec   2.679 ms    2/ 1739 (0.12%)
[  3] 122.0-123.0 sec  4.14 MBytes  34.7 Mbits/sec   1.113 ms    0/ 2954 (0%)
[  3] 123.0-124.0 sec  3.10 MBytes  26.0 Mbits/sec   0.734 ms    0/ 2211 (0%)
[  3] 124.0-125.0 sec  3.64 MBytes  30.5 Mbits/sec   0.389 ms    1/ 2596 (0.039%)
[  3] 125.0-126.0 sec  4.17 MBytes  35.0 Mbits/sec   0.484 ms    1/ 2976 (0.034%)
[  3] 126.0-127.0 sec  2.89 MBytes  24.2 Mbits/sec   0.872 ms    2/ 2061 (0.097%)
[  3] 127.0-128.0 sec  4.17 MBytes  34.9 Mbits/sec   0.663 ms    0/ 2971 (0%)
[  3] 128.0-129.0 sec  3.37 MBytes  28.3 Mbits/sec   1.221 ms    0/ 2406 (0%)
[  3] 129.0-130.0 sec  3.66 MBytes  30.7 Mbits/sec   1.728 ms    0/ 2610 (0%)
[  3] 130.0-131.0 sec  2.89 MBytes  24.2 Mbits/sec   1.786 ms    1/ 2061 (0.049%)
[  3] 131.0-132.0 sec  3.60 MBytes  30.2 Mbits/sec   3.381 ms    2/ 2570 (0.078%)
[  3] 132.0-133.0 sec  4.36 MBytes  36.6 Mbits/sec   1.448 ms    0/ 3108 (0%)
[  3] 133.0-134.0 sec  3.60 MBytes  30.2 Mbits/sec   1.231 ms    0/ 2570 (0%)
[  3] 134.0-135.0 sec  3.52 MBytes  29.5 Mbits/sec   0.809 ms    0/ 2510 (0%)
[  3] 135.0-136.0 sec  3.49 MBytes  29.3 Mbits/sec   3.431 ms    1/ 2490 (0.04%)
[  3] 136.0-137.0 sec  2.76 MBytes  23.1 Mbits/sec   2.591 ms    1/ 1968 (0.051%)
[  3] 137.0-138.0 sec  3.33 MBytes  28.0 Mbits/sec   0.967 ms    0/ 2377 (0%)
[  3] 138.0-139.0 sec  2.64 MBytes  22.2 Mbits/sec   0.884 ms    3/ 1887 (0.16%)
